player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,weeks_real_stats,weeks_inferred_snap_verified,weeks_inferred_pbp_confirmed,weeks_synthetic,predicted_season_total,actual_season_total
00-0007091,QB,2015,IND,16,16,8,0.6805555555555556,0,0,0,16,31.212126288699196,91.2
00-0010346,QB,2015,DEN,16,16,10,1.0,0,0,0,16,306.7953630002245,91.3
00-0019596,QB,2015,NE,16,16,16,0.8958333333333334,0,0,0,16,263.00435689756785,344.7
00-0020245,QB,2015,PIT,16,16,5,0.7321428571428571,0,0,0,16,65.63471676183042,30.700000000000003
00-0020531,QB,2015,NO,16,16,15,1.0,0,0,0,16,300.7666745190223,304.29999999999995
00-0020679,QB,2015,MIN,16,16,3,0.3203125,0,0,0,16,60.15879398987642,0.09999999999999998
00-0021206,QB,2015,CLE,16,16,8,0.3125,0,0,0,16,38.655005011943395,128.10000000000002
00-0021429,QB,2015,ARI,16,16,16,0.7986111111111112,0,0,0,16,192.5080271700973,309.2
00-0021678,QB,2015,DAL,16,16,4,0.8888888888888888,0,0,0,16,232.27637253995292,40.60000000000001
00-0022787,QB,2015,BAL,16,16,2,0.6805555555555556,0,0,0,16,75.8443074438055,26.6
00-0022803,QB,2015,NYG,16,16,16,1.0,0,0,0,16,235.81801773621672,287.5
00-0022864,QB,2015,NO,16,16,2,0.16964285714285715,0,0,0,16,3.130623102245154,11.4
00-0022924,QB,2015,PIT,16,16,12,0.9583333333333334,0,0,0,16,232.22287576592515,212.60000000000002
00-0022942,QB,2015,LAC,16,16,16,1.0,0,0,0,16,212.62071875832413,280.2
00-0023436,QB,2015,KC,16,16,16,0.796875,0,0,0,16,185.03113733751843,267.0
00-0023459,QB,2015,GB,16,16,16,0.7638888888888888,0,0,0,16,142.22007284649305,293.3
00-0023578,QB,2015,DET,16,16,2,0.328125,0,0,0,16,15.436334538334595,10.0
00-0023645,QB,2015,CAR,16,16,3,0.4444444444444444,0,0,0,16,32.34153372101495,1.2
00-0023662,QB,2015,DAL,16,16,9,0.6041666666666666,0,0,0,16,106.30997632839974,64.9
00-0023682,QB,2015,NYJ,16,16,16,0.7109375,0,0,0,16,134.82347553047072,285.1
00-0024226,QB,2015,CHI,16,16,15,0.8333333333333334,0,0,0,16,197.71543113069072,224.3
00-0024264,QB,2015,LAC,16,16,2,0.2638888888888889,0,0,0,16,17.24629587301747,6.4
00-0024279,QB,2015,SEA,16,16,4,0.4296875,0,0,0,16,6.90079141512837,0.7
00-0024296,QB,2015,IND,16,16,4,0.2375,0,0,0,16,36.5039371454649,4.0
00-0025430,QB,2015,ARI,16,16,7,0.328125,0,0,0,16,43.47749562311225,-1.1
00-0025708,QB,2015,MIA,16,16,1,0.3482142857142857,0,0,0,16,1.1132763504502095,0.4
00-0026143,QB,2015,ATL,16,16,16,0.9821428571428571,0,0,0,16,269.63297444276606,231.9
00-0026158,QB,2015,BAL,16,16,10,1.0,0,0,0,16,242.39583671479394,160.10000000000002
00-0026498,QB,2015,DET,16,16,16,0.8020833333333334,0,0,0,16,187.38625424401638,290.7
00-0026544,QB,2015,KC,16,16,2,0.175,0,0,0,16,15.901690769070216,0.0
00-0026625,QB,2015,HOU,16,16,11,0.3125,0,0,0,16,39.09454755090872,166.6
00-0026898,QB,2015,PHI,16,16,4,0.9,0,0,0,16,209.33965002877767,32.8
00-0026993,QB,2015,IND,16,16,1,0.7625,0,0,0,16,66.97357947229439,10.4
00-0027659,QB,2015,BAL,16,16,4,0.53125,0,0,0,16,76.35099559372489,33.1
00-0027688,QB,2015,WAS,16,16,2,0.4,0,0,0,16,82.00509859876698,8.8
00-0027796,QB,2015,CAR,16,16,4,0.3,0,0,0,16,8.187702724462387,-0.1
00-0027854,QB,2015,PHI,16,16,14,0.765625,0,0,0,16,190.40612431516465,194.79999999999998
00-0027939,QB,2015,CAR,16,16,16,1.0,0,0,0,16,265.1880731055777,389.1
00-0027948,QB,2015,SF,16,16,8,0.453125,0,0,0,16,40.3443678479271,129.8
00-0027973,QB,2015,CIN,16,16,13,1.0,0,0,0,16,193.42872182241314,244.2
00-0027974,QB,2015,SF,16,16,9,0.78125,0,0,0,16,235.3922559687441,108.30000000000001
00-0028012,QB,2015,BAL,16,16,8,0.1875,0,0,0,16,20.793469989472026,69.0
00-0028090,QB,2015,HOU,16,16,4,0.234375,0,0,0,16,-0.6110801209670707,22.899999999999995
