position,season,window,actual_years,n_train_rows,receiving_floor,weighting,model,mae,rmse,medae,r2,spearman,bias,n
QB,2023,3y,3,2059,True,n/a,existing_methodology,6.344002185290766,7.696612474685639,5.9187541314645,0.2493797029869016,0.5414134258419957,1.033310506256499,718
QB,2023,3y,3,2059,True,none,B_gbm_huber,6.316538657267031,7.641731178827539,5.821193531325138,0.2600462507959159,0.5403783820715041,0.4727401178792042,718
QB,2023,3y,3,2059,True,none,F_yeojohnson_huber,5.823977858625096,7.266156479753442,4.80055670676342,0.33099316361831665,0.5504555862597674,0.05120898405185435,718
QB,2023,3y,3,2059,True,linear,B_gbm_huber,6.22550003982652,7.5829815951725665,5.716646021328964,0.2713800356505285,0.5480392347880227,0.2970292762250844,718
QB,2023,3y,3,2059,True,linear,F_yeojohnson_huber,5.922844369642424,7.425308044690305,4.904842433683812,0.301365523058148,0.5386326379493315,-0.7606101860462166,718
QB,2023,3y,3,2059,True,exponential,B_gbm_huber,6.247998389753861,7.5857865571510885,5.909792768282341,0.2708408996219779,0.5499420115737711,0.37697505944223314,718
QB,2023,3y,3,2059,True,exponential,F_yeojohnson_huber,5.8929161663678356,7.3867160556111715,4.947469694431733,0.3086087590681307,0.5400213540953308,-0.5022877769770854,718
QB,2023,5y,5,3337,True,n/a,existing_methodology,6.233470837137898,7.575909901853409,5.840939130434785,0.2727383863966537,0.552951920972459,1.114521106866665,718
QB,2023,5y,5,3337,True,none,B_gbm_huber,6.252210894349648,7.565753035523182,5.991996598502427,0.274687128526516,0.5599462864037801,0.6644051212156955,718
QB,2023,5y,5,3337,True,none,F_yeojohnson_huber,5.83234460012878,7.306398881505777,5.027419236969614,0.323562276409079,0.561738331494932,0.13346339833968618,718
QB,2023,5y,5,3337,True,linear,B_gbm_huber,6.129005606757274,7.469324335108594,5.626864374589509,0.2930581389718472,0.5618567450576668,0.4271972131747458,718
QB,2023,5y,5,3337,True,linear,F_yeojohnson_huber,5.827354783038167,7.280089652580875,4.982030062565013,0.32842500396348584,0.5635210794543578,0.10682461878436254,718
QB,2023,5y,5,3337,True,exponential,B_gbm_huber,6.15997198422712,7.497483671990522,5.767542263975359,0.2877177526594804,0.5574689250606374,0.3713512038076356,718
QB,2023,5y,5,3337,True,exponential,F_yeojohnson_huber,5.873021141702133,7.338273589253424,5.129924153108596,0.3176473827967935,0.5547530083895056,-0.159063235478811,718
QB,2023,7y,7,4574,True,n/a,existing_methodology,6.128398832229029,7.488036984645279,5.500000000000001,0.2895115461412118,0.5397415406340028,1.1556179585462247,718
QB,2023,7y,7,4574,True,none,B_gbm_huber,6.235886296791024,7.560777446663769,5.774529560515821,0.27564081336128055,0.55983949494026,0.361637548179999,718
QB,2023,7y,7,4574,True,none,F_yeojohnson_huber,5.834351326168467,7.30113323984687,5.018243181240671,0.3245369275912199,0.5592293148349207,0.1662190122828116,718
QB,2023,7y,7,4574,True,linear,B_gbm_huber,6.199095794291887,7.5384821636530575,5.745435213258677,0.2799065074277053,0.5593576108547954,0.4691990995216651,718
QB,2023,7y,7,4574,True,linear,F_yeojohnson_huber,5.805639864120152,7.255351910779003,5.067783176259032,0.3329812728385819,0.5667279799996624,0.16659334289129082,718
QB,2023,7y,7,4574,True,exponential,B_gbm_huber,6.174910872337477,7.510356034996186,5.706812496905229,0.2852698309488835,0.5590458190999026,0.40636307296673657,718
QB,2023,7y,7,4574,True,exponential,F_yeojohnson_huber,5.7773591056071245,7.236626189952705,4.8794696026278315,0.3364199173176816,0.5711604042663246,0.01712515621518371,718
QB,2023,10y,10,6436,True,n/a,existing_methodology,6.176886482791159,7.584900214317401,5.894716612617922,0.27101128332090485,0.5433612123644803,1.4760152808678277,718
QB,2023,10y,10,6436,True,none,B_gbm_huber,6.197815619442239,7.51801393900143,5.860577517746581,0.2838115444360648,0.5677602871104412,0.5173978375001729,718
QB,2023,10y,10,6436,True,none,F_yeojohnson_huber,5.744290319810057,7.168080503723753,4.897557152274028,0.34893130873999534,0.5722383626115511,0.1862761183103072,718
QB,2023,10y,10,6436,True,linear,B_gbm_huber,6.169050080690908,7.497083923470953,5.757107497843591,0.2877937051245131,0.5717704300727604,0.4682533304940104,718
QB,2023,10y,10,6436,True,linear,F_yeojohnson_huber,5.75957335478858,7.1896309857471214,4.96453929044576,0.3450106117998323,0.5729080886303893,0.14608784307672654,718
QB,2023,10y,10,6436,True,exponential,B_gbm_huber,6.169906089844045,7.514724806142719,5.677723776271548,0.2844380725869915,0.5633921726269232,0.41426045944093026,718
QB,2023,10y,10,6436,True,exponential,F_yeojohnson_huber,5.860490721005087,7.33411926196827,5.0216747572320175,0.31841974803220163,0.556822619679264,0.16176091133022644,718
QB,2023,since2013,10,6436,True,n/a,existing_methodology,6.176886482791159,7.584900214317401,5.894716612617922,0.27101128332090485,0.5433612123644803,1.4760152808678277,718
QB,2023,since2013,10,6436,True,none,B_gbm_huber,6.197815619442239,7.51801393900143,5.860577517746581,0.2838115444360648,0.5677602871104412,0.5173978375001729,718
QB,2023,since2013,10,6436,True,none,F_yeojohnson_huber,5.744290319810057,7.168080503723753,4.897557152274028,0.34893130873999534,0.5722383626115511,0.1862761183103072,718
QB,2023,since2013,10,6436,True,linear,B_gbm_huber,6.169050080690908,7.497083923470953,5.757107497843591,0.2877937051245131,0.5717704300727604,0.4682533304940104,718
